id,id_student,gender,region,highest_education,imd_band,age_band,studied_credits,disability,num_of_prev_attempts_y,sum_click,id_site,final_result,final_result_code
0,11391,1,2,3,10,3,240,1,0.0,4.76530612244898,107152743.0,Pass,1
1,28400,0,1,3,1,2,60,1,0.0,3.3372093023255816,235082915.0,Pass,1
2,30268,0,5,1,2,2,60,2,0.0,3.6973684210526314,41550803.0,Withdrawn,2
3,31604,0,9,1,6,2,60,1,0.0,3.2549019607843137,362470398.0,Pass,1
4,32885,0,6,2,6,1,60,1,0.0,2.9375,192445868.0,Pass,1
5,38053,1,10,1,9,2,60,1,0.0,3.3817427385892116,395256463.0,Pass,1
6,45462,1,1,3,2,1,60,1,0.0,4.20281690140845,194082992.0,Pass,1
7,45642,0,5,1,10,1,120,1,0.0,2.689265536723164,290304037.0,Pass,1
8,52130,0,2,1,8,1,90,1,0.0,3.193929173693086,324210061.0,Pass,1
9,53025,1,12,5,0,3,60,1,0.0,3.493362831858407,494203477.0,Pass,1
10,57506,1,4,2,8,2,60,1,0.0,3.272952853598015,220336174.0,Pass,1
11,58873,0,2,1,1,1,60,1,0.0,3.2927756653992395,287574157.0,Pass,1
12,59185,1,2,2,7,2,60,1,0.0,3.1942028985507247,188617767.0,Pass,1
13,62155,0,5,3,6,1,60,1,0.0,3.45361875637105,536297007.0,Pass,1
14,63400,1,1,2,5,2,60,1,0.0,3.6013157894736842,415504907.0,Pass,1
15,65002,0,2,1,8,1,60,1,0.5,3.142857142857143,31277152.0,Withdrawn,2
16,65002,0,2,1,8,1,60,1,0.5,3.142857142857143,31277152.0,Fail,3
17,70464,0,6,1,7,2,60,1,0.0,5.136585365853659,112076634.0,Pass,1
18,71361,1,13,3,0,2,60,1,0.0,3.1964285714285716,398011759.0,Pass,1
19,74372,1,2,1,3,2,150,1,0.0,1.6111111111111112,39363366.0,Fail,3
20,75091,1,7,1,2,2,60,1,0.0,3.9681697612732094,412220476.0,Pass,1
21,77367,1,8,1,2,1,60,1,0.0,2.5092250922509227,148159967.0,Pass,1
22,91265,1,5,3,4,1,60,1,0.0,3.0120967741935485,271174087.0,Pass,1
23,94961,1,4,2,8,2,60,1,0.5,2.973621103117506,332315672.0,Withdrawn,2
24,94961,1,4,2,8,2,60,1,0.5,2.973621103117506,332315672.0,Pass,1
25,98094,1,10,2,8,2,60,1,0.0,7.3549222797927465,211033335.0,Pass,1
26,100893,1,11,1,1,1,60,1,0.0,3.0617283950617282,132854169.0,Pass,1
27,101781,1,4,2,9,2,60,1,0.0,4.495071193866375,499157996.0,Pass,1
28,102806,1,5,1,2,1,60,1,0.0,2.4891165172855314,426961981.0,Pass,1
29,102952,1,3,3,7,1,60,1,0.0,3.6741214057507987,171123469.0,Pass,1
30,104476,1,13,5,0,2,60,1,0.0,4.815524193548387,542360146.0,Pass,1
31,106247,1,4,3,9,2,60,1,0.0,3.206896551724138,79276514.0,Withdrawn,2
32,106577,1,8,2,1,1,60,1,0.0,3.316742081447964,120823059.0,Pass,1
33,110175,1,2,3,9,2,60,1,0.0,2.9096209912536444,187542504.0,Pass,1
34,111717,0,2,3,10,2,60,1,0.0,3.9779286926994906,322014899.0,Pass,1
35,113295,1,11,2,7,2,60,1,0.0,3.5494505494505493,547257705.0,Pass,1
36,114017,0,12,5,0,2,60,1,0.0,3.277056277056277,126306143.0,Pass,1
37,114999,1,11,3,7,2,60,1,0.0,2.6627450980392156,278828625.0,Pass,1
38,116541,1,10,3,4,1,60,1,0.0,3.669260700389105,281018974.0,Pass,1
39,116692,1,2,1,8,2,60,1,0.0,3.562700964630225,170029346.0,Pass,1
40,118983,1,8,3,2,1,120,1,0.0,2.5585585585585586,60689707.0,Pass,1
